"","neighbourhood_group","neighbourhood","mean","count"
"1","Bronx","Allerton",128854.012658228,79
"2","Bronx","Baychester",90845.8181818182,22
"3","Bronx","Belmont",90150.027027027,37
"4","Bronx","Bronxdale",111042.358974359,39
"5","Bronx","Castle Hill",62877.6666666667,6
"6","Bronx","City Island",121422.545454545,33
"7","Bronx","Claremont Village",134655.348837209,43
"8","Bronx","Clason Point",91896.1891891892,37
"9","Bronx","Co-op City",55206.5,4
"10","Bronx","Concourse",144271.453608247,97
"11","Bronx","Concourse Village",102423.078431373,51
"12","Bronx","East Morrisania",121749.333333333,18
"13","Bronx","Eastchester",49643.65,20
"14","Bronx","Edenwald",73814.1481481481,27
"15","Bronx","Fieldston",141740.75,24
"16","Bronx","Fordham",148850.632478632,117
"17","Bronx","Highbridge",151314.25862069,58
"18","Bronx","Hunts Point",72269.9777777778,45
"19","Bronx","Kingsbridge",128270.65,120
"20","Bronx","Longwood",139775.212765957,94
"21","Bronx","Melrose",158139.352941176,17
"22","Bronx","Morris Heights",102921.807692308,26
"23","Bronx","Morris Park",186854.117647059,34
"24","Bronx","Morrisania",105997.6,20
"25","Bronx","Mott Haven",116507,127
"26","Bronx","Mount Eden",89062.1538461538,13
"27","Bronx","Mount Hope",141387.450980392,51
"28","Bronx","North Riverdale",149436.8,15
"29","Bronx","Norwood",96364.8679245283,53
"30","Bronx","Olinville",140240.357142857,14
"31","Bronx","Parkchester",133580.157894737,76
"32","Bronx","Pelham Bay",130122.486486486,37
"33","Bronx","Pelham Gardens",118012.476923077,65
"34","Bronx","Port Morris",106259.883333333,60
"35","Bronx","Riverdale",178396.181818182,11
"36","Bronx","Schuylerville",124854.452380952,42
"37","Bronx","Soundview",144385.766666667,30
"38","Bronx","Spuyten Duyvil",36734.8888888889,9
"39","Bronx","Throgs Neck",142481.048780488,41
"40","Bronx","Tremont",139052.181818182,22
"41","Bronx","Unionport",41451.8666666667,15
"42","Bronx","University Heights",173103.702702703,37
"43","Bronx","Van Nest",83301.7222222222,18
"44","Bronx","Wakefield",108163.095238095,126
"45","Bronx","West Farms",29022.8333333333,6
"46","Bronx","Westchester Square",124727.952380952,21
"47","Bronx","Williamsbridge",100502.294871795,78
"48","Bronx","Woodlawn",172846.592592593,27
"49","Brooklyn","Bath Beach",116007.357142857,42
"50","Brooklyn","Bay Ridge",123589.923404255,235
"51","Brooklyn","Bedford-Stuyvesant",145931.744331509,6395
"52","Brooklyn","Bensonhurst",116392.483870968,124
"53","Brooklyn","Bergen Beach",119168.5,26
"54","Brooklyn","Boerum Hill",156628.723183391,289
"55","Brooklyn","Borough Park",124905.282608696,184
"56","Brooklyn","Brighton Beach",134487.930232558,129
"57","Brooklyn","Brooklyn Heights",164113.265560166,241
"58","Brooklyn","Brownsville",148277.57037037,135
"59","Brooklyn","Bushwick",159461.321869257,3809
"60","Brooklyn","Canarsie",99611.367781155,329
"61","Brooklyn","Carroll Gardens",164486.140350877,399
"62","Brooklyn","Clinton Hill",156270.431868132,910
"63","Brooklyn","Cobble Hill",176843.401197605,167
"64","Brooklyn","Columbia St",181058.16,75
"65","Brooklyn","Coney Island",113460.575,40
"66","Brooklyn","Crown Heights",153276.716872111,2596
"67","Brooklyn","Cypress Hills",125258.761029412,272
"68","Brooklyn","DUMBO",130802.893617021,47
"69","Brooklyn","Downtown Brooklyn",183198.683760684,117
"70","Brooklyn","Dyker Heights",102555.952380952,21
"71","Brooklyn","East Flatbush",124049.324439701,937
"72","Brooklyn","East New York",110841.226377953,508
"73","Brooklyn","Flatbush",159645.159301131,973
"74","Brooklyn","Flatlands",108980.223602484,161
"75","Brooklyn","Fort Greene",161782.272108844,735
"76","Brooklyn","Fort Hamilton",114317.536842105,95
"77","Brooklyn","Gerritsen Beach",158361,3
"78","Brooklyn","Gowanus",150418.92364532,406
"79","Brooklyn","Gravesend",156540.879518072,83
"80","Brooklyn","Greenpoint",161353.969546302,1609
"81","Brooklyn","Kensington",161660.3125,288
"82","Brooklyn","Manhattan Beach",111194.45,20
"83","Brooklyn","Midwood",156802.433526012,173
"84","Brooklyn","Mill Basin",74146,13
"85","Brooklyn","Navy Yard",157902.888888889,27
"86","Brooklyn","Park Slope",144753.643939394,792
"87","Brooklyn","Prospect Heights",174427.181978799,566
"88","Brooklyn","Prospect-Lefferts Gardens",159269.243019648,967
"89","Brooklyn","Red Hook",151075.790849673,153
"90","Brooklyn","Sea Gate",98932.3333333333,12
"91","Brooklyn","Sheepshead Bay",131853.964,250
"92","Brooklyn","South Slope",163022.412631579,475
"93","Brooklyn","Sunset Park",152658.304034582,694
"94","Brooklyn","Vinegar Hill",159566.537037037,54
"95","Brooklyn","Williamsburg",166557.162685604,6196
"96","Brooklyn","Windsor Terrace",149988.923076923,273
"97","Manhattan","Battery Park City",154579.983606557,61
"98","Manhattan","Chelsea",150518.82830077,1689
"99","Manhattan","Chinatown",153364.275862069,667
"100","Manhattan","Civic Center",202098.630769231,65
"101","Manhattan","East Harlem",156219.420995671,1848
"102","Manhattan","East Village",166803.478372434,2728
"103","Manhattan","Financial District",111884.260223048,1076
"104","Manhattan","Flatiron District",131123.734513274,113
"105","Manhattan","Gramercy",151646.581005587,537
"106","Manhattan","Greenwich Village",174025.12345679,567
"107","Manhattan","Harlem",152295.453663046,4327
"108","Manhattan","Hell's Kitchen",135401.08378933,2924
"109","Manhattan","Inwood",161993.229166667,432
"110","Manhattan","Kips Bay",139036.077272727,660
"111","Manhattan","Little Italy",138479.135135135,222
"112","Manhattan","Lower East Side",151616.855445545,1515
"113","Manhattan","Marble Hill",110861.75,16
"114","Manhattan","Midtown",127733.457711443,2211
"115","Manhattan","Morningside Heights",186544.377272727,440
"116","Manhattan","Murray Hill",118151.070934256,578
"117","Manhattan","NoHo",183115.412844037,109
"118","Manhattan","Nolita",167499.691747573,412
"119","Manhattan","Roosevelt Island",152131.865079365,126
"120","Manhattan","SoHo",161305.962121212,528
"121","Manhattan","Stuyvesant Town",193632.459016393,61
"122","Manhattan","Theater District",122015.129411765,340
"123","Manhattan","Tribeca",150027.165919283,223
"124","Manhattan","Two Bridges",167033.24,100
"125","Manhattan","Upper East Side",145726.375314861,2779
"126","Manhattan","Upper West Side",151945.16497373,2855
"127","Manhattan","Washington Heights",146050.435766423,1370
"128","Manhattan","West Village",166061.727353464,1126
"129","Queens","Arverne",114984.076142132,197
"130","Queens","Astoria",145740.280640669,1436
"131","Queens","Bay Terrace",105084.166666667,6
"132","Queens","Bayside",109778.485714286,105
"133","Queens","Bayswater",116976.448275862,29
"134","Queens","Belle Harbor",87670.1363636364,22
"135","Queens","Bellerose",94519.4117647059,17
"136","Queens","Breezy Point",26070.4285714286,7
"137","Queens","Briarwood",144772.011904762,84
"138","Queens","Cambria Heights",168727.647058824,51
"139","Queens","College Point",180221.658536585,41
"140","Queens","Corona",120525.343434343,99
"141","Queens","Ditmars Steinway",140961.601092896,549
"142","Queens","Douglaston",87358,21
"143","Queens","East Elmhurst",129706.890776699,412
"144","Queens","Edgemere",47405,25
"145","Queens","Elmhurst",149996.334916865,421
"146","Queens","Far Rockaway",131437.866666667,60
"147","Queens","Flushing",128878.774314214,802
"148","Queens","Forest Hills",126578.936170213,235
"149","Queens","Fresh Meadows",128357.32183908,87
"150","Queens","Glen Oaks",1231.5,2
"151","Queens","Glendale",130443.154545455,110
"152","Queens","Hollis",108522.967741935,31
"153","Queens","Holliswood",98476.8333333333,6
"154","Queens","Howard Beach",99425.4102564103,39
"155","Queens","Jackson Heights",146756.681578947,380
"156","Queens","Jamaica",114836.78914405,479
"157","Queens","Jamaica Estates",114236.694444444,36
"158","Queens","Jamaica Hills",181191.6,20
"159","Queens","Kew Gardens",112882.901960784,51
"160","Queens","Kew Gardens Hills",141241.543859649,57
"161","Queens","Laurelton",97476.8461538462,52
"162","Queens","Little Neck",271390.5,4
"163","Queens","Long Island City",148509.923976608,855
"164","Queens","Maspeth",108559.428571429,203
"165","Queens","Middle Village",86954.1724137931,58
"166","Queens","Neponsit",110441.5,6
"167","Queens","Ozone Park",128500.683760684,117
"168","Queens","Queens Village",112088.617391304,115
"169","Queens","Rego Park",129487.730769231,182
"170","Queens","Richmond Hill",97413.4944444444,180
"171","Queens","Ridgewood",159996.460486322,658
"172","Queens","Rockaway Beach",109736.779141104,163
"173","Queens","Rosedale",100339.932885906,149
"174","Queens","South Ozone Park",116654.43,100
"175","Queens","Springfield Gardens",100516.058252427,206
"176","Queens","St. Albans",90020.0617977528,178
"177","Queens","Sunnyside",144334.717171717,594
"178","Queens","Whitestone",116455.684210526,19
"179","Queens","Woodhaven",102704.175675676,148
"180","Queens","Woodside",150384.828633406,461
"181","Staten Island","Arden Heights",164514.777777778,9
"182","Staten Island","Arrochar",91990.8723404255,47
"183","Staten Island","Bay Terrace, Staten Island",156767.5,4
"184","Staten Island","Bull's Head",149584.666666667,6
"185","Staten Island","Castleton Corners",98274.7,10
"186","Staten Island","Chelsea, Staten Island",209442,1
"187","Staten Island","Clifton",99476.3928571429,28
"188","Staten Island","Concord",50279.7272727273,55
"189","Staten Island","Dongan Hills",111536.846153846,13
"190","Staten Island","Eltingville",61104,6
"191","Staten Island","Emerson Hill",147499,6
"192","Staten Island","Graniteville",135621.571428571,7
"193","Staten Island","Grant City",94942.6842105263,19
"194","Staten Island","Great Kills",165148.391304348,23
"195","Staten Island","Grymes Hill",156025.705882353,17
"196","Staten Island","Howland Hook",62889.3333333333,6
"197","Staten Island","Huguenot",130354.222222222,9
"198","Staten Island","Lighthouse Hill",29078,3
"199","Staten Island","Mariners Harbor",122553.6,20
"200","Staten Island","Midland Beach",90132.9285714286,14
"201","Staten Island","New Brighton",152576.357142857,14
"202","Staten Island","New Dorp",287152,1
"203","Staten Island","New Dorp Beach",108442.666666667,6
"204","Staten Island","New Springville",140638.384615385,13
"205","Staten Island","Oakwood",111701.714285714,14
"206","Staten Island","Port Richmond",80999.7333333333,15
"207","Staten Island","Prince's Bay",102323.4,5
"208","Staten Island","Randall Manor",61395.7837837838,37
"209","Staten Island","Richmondtown",132848.25,4
"210","Staten Island","Rosebank",102336.571428571,14
"211","Staten Island","Rossville",63852,3
"212","Staten Island","Shore Acres",198395.666666667,12
"213","Staten Island","Silver Lake",156428.375,8
"214","Staten Island","South Beach",61348,13
"215","Staten Island","St. George",127209.178217822,101
"216","Staten Island","Stapleton",109043.79245283,53
"217","Staten Island","Todt Hill",197779,7
"218","Staten Island","Tompkinsville",110351.52688172,93
"219","Staten Island","Tottenville",89400.9,10
"220","Staten Island","West Brighton",59651.3076923077,52
"221","Staten Island","Westerleigh",137409.5,4
"222","Staten Island","Willowbrook",7480,3
"223","Staten Island","Woodrow",4758,1
