"","neighbourhood_group","neighbourhood","mean","count"
"1","Bronx","Allerton",3.30379746835443,79
"2","Bronx","Baychester",3.45454545454545,22
"3","Bronx","Belmont",3.40540540540541,37
"4","Bronx","Bronxdale",3.17948717948718,39
"5","Bronx","Castle Hill",3,6
"6","Bronx","City Island",3.66666666666667,33
"7","Bronx","Claremont Village",3.48837209302326,43
"8","Bronx","Clason Point",3.48648648648649,37
"9","Bronx","Co-op City",4.25,4
"10","Bronx","Concourse",3.17525773195876,97
"11","Bronx","Concourse Village",3.37254901960784,51
"12","Bronx","East Morrisania",3.11111111111111,18
"13","Bronx","Eastchester",3.2,20
"14","Bronx","Edenwald",3.51851851851852,27
"15","Bronx","Fieldston",3.41666666666667,24
"16","Bronx","Fordham",3.25641025641026,117
"17","Bronx","Highbridge",3.05172413793103,58
"18","Bronx","Hunts Point",3.28888888888889,45
"19","Bronx","Kingsbridge",3.35833333333333,120
"20","Bronx","Longwood",3.41489361702128,94
"21","Bronx","Melrose",3.47058823529412,17
"22","Bronx","Morris Heights",3.42307692307692,26
"23","Bronx","Morris Park",3.11764705882353,34
"24","Bronx","Morrisania",3.75,20
"25","Bronx","Mott Haven",3.44094488188976,127
"26","Bronx","Mount Eden",3.76923076923077,13
"27","Bronx","Mount Hope",3.3921568627451,51
"28","Bronx","North Riverdale",3.8,15
"29","Bronx","Norwood",3.07547169811321,53
"30","Bronx","Olinville",3.14285714285714,14
"31","Bronx","Parkchester",3.25,76
"32","Bronx","Pelham Bay",3.32432432432432,37
"33","Bronx","Pelham Gardens",3.24615384615385,65
"34","Bronx","Port Morris",3.16666666666667,60
"35","Bronx","Riverdale",2.54545454545455,11
"36","Bronx","Schuylerville",3.5952380952381,42
"37","Bronx","Soundview",3.36666666666667,30
"38","Bronx","Spuyten Duyvil",2.88888888888889,9
"39","Bronx","Throgs Neck",3.17073170731707,41
"40","Bronx","Tremont",3.45454545454545,22
"41","Bronx","Unionport",3.73333333333333,15
"42","Bronx","University Heights",3.24324324324324,37
"43","Bronx","Van Nest",3.44444444444444,18
"44","Bronx","Wakefield",3.34126984126984,126
"45","Bronx","West Farms",4,6
"46","Bronx","Westchester Square",3.66666666666667,21
"47","Bronx","Williamsbridge",3.47435897435897,78
"48","Bronx","Woodlawn",3.33333333333333,27
"49","Brooklyn","Bath Beach",3.23809523809524,42
"50","Brooklyn","Bay Ridge",3.17021276595745,235
"51","Brooklyn","Bedford-Stuyvesant",3.28491008600469,6395
"52","Brooklyn","Bensonhurst",3.31451612903226,124
"53","Brooklyn","Bergen Beach",2.80769230769231,26
"54","Brooklyn","Boerum Hill",3.23529411764706,289
"55","Brooklyn","Borough Park",3.47826086956522,184
"56","Brooklyn","Brighton Beach",3.33333333333333,129
"57","Brooklyn","Brooklyn Heights",3.12863070539419,241
"58","Brooklyn","Brownsville",3.4962962962963,135
"59","Brooklyn","Bushwick",3.27776319243896,3809
"60","Brooklyn","Canarsie",3.34650455927052,329
"61","Brooklyn","Carroll Gardens",3.28320802005013,399
"62","Brooklyn","Clinton Hill",3.21648351648352,910
"63","Brooklyn","Cobble Hill",3.18562874251497,167
"64","Brooklyn","Columbia St",3.37333333333333,75
"65","Brooklyn","Coney Island",2.775,40
"66","Brooklyn","Crown Heights",3.30701078582435,2596
"67","Brooklyn","Cypress Hills",3.34191176470588,272
"68","Brooklyn","DUMBO",2.85106382978723,47
"69","Brooklyn","Downtown Brooklyn",3.43589743589744,117
"70","Brooklyn","Dyker Heights",3,21
"71","Brooklyn","East Flatbush",3.32017075773746,937
"72","Brooklyn","East New York",3.3248031496063,508
"73","Brooklyn","Flatbush",3.24768756423433,973
"74","Brooklyn","Flatlands",3.01242236024845,161
"75","Brooklyn","Fort Greene",3.18775510204082,735
"76","Brooklyn","Fort Hamilton",3.61052631578947,95
"77","Brooklyn","Gerritsen Beach",4.33333333333333,3
"78","Brooklyn","Gowanus",3.20197044334975,406
"79","Brooklyn","Gravesend",3.28915662650602,83
"80","Brooklyn","Greenpoint",3.19142324425109,1609
"81","Brooklyn","Kensington",3.43402777777778,288
"82","Brooklyn","Manhattan Beach",2.45,20
"83","Brooklyn","Midwood",3.53179190751445,173
"84","Brooklyn","Mill Basin",3.84615384615385,13
"85","Brooklyn","Navy Yard",3.11111111111111,27
"86","Brooklyn","Park Slope",3.25631313131313,792
"87","Brooklyn","Prospect Heights",3.15371024734982,566
"88","Brooklyn","Prospect-Lefferts Gardens",3.27921406411582,967
"89","Brooklyn","Red Hook",3.12418300653595,153
"90","Brooklyn","Sea Gate",2.91666666666667,12
"91","Brooklyn","Sheepshead Bay",3.228,250
"92","Brooklyn","South Slope",3.19578947368421,475
"93","Brooklyn","Sunset Park",3.18731988472622,694
"94","Brooklyn","Vinegar Hill",3.25925925925926,54
"95","Brooklyn","Williamsburg",3.26371852808263,6196
"96","Brooklyn","Windsor Terrace",3.11721611721612,273
"97","Manhattan","Battery Park City",3.08196721311475,61
