"","neighbourhood_group","neighbourhood","turnover_mean","review_mean","count"
"1","Bronx","Allerton",128854.012658228,3.30379746835443,79
"2","Bronx","Baychester",90845.8181818182,3.45454545454545,22
"3","Bronx","Belmont",90150.027027027,3.40540540540541,37
"4","Bronx","Bronxdale",111042.358974359,3.17948717948718,39
"5","Bronx","Castle Hill",62877.6666666667,3,6
"6","Bronx","City Island",121422.545454545,3.66666666666667,33
"7","Bronx","Claremont Village",134655.348837209,3.48837209302326,43
"8","Bronx","Clason Point",91896.1891891892,3.48648648648649,37
"9","Bronx","Co-op City",55206.5,4.25,4
"10","Bronx","Concourse",144271.453608247,3.17525773195876,97
"11","Bronx","Concourse Village",102423.078431373,3.37254901960784,51
"12","Bronx","East Morrisania",121749.333333333,3.11111111111111,18
"13","Bronx","Eastchester",49643.65,3.2,20
"14","Bronx","Edenwald",73814.1481481481,3.51851851851852,27
"15","Bronx","Fieldston",141740.75,3.41666666666667,24
"16","Bronx","Fordham",148850.632478632,3.25641025641026,117
"17","Bronx","Highbridge",151314.25862069,3.05172413793103,58
"18","Bronx","Hunts Point",72269.9777777778,3.28888888888889,45
"19","Bronx","Kingsbridge",128270.65,3.35833333333333,120
"20","Bronx","Longwood",139775.212765957,3.41489361702128,94
"21","Bronx","Melrose",158139.352941176,3.47058823529412,17
"22","Bronx","Morris Heights",102921.807692308,3.42307692307692,26
"23","Bronx","Morris Park",186854.117647059,3.11764705882353,34
"24","Bronx","Morrisania",105997.6,3.75,20
"25","Bronx","Mott Haven",116507,3.44094488188976,127
"26","Bronx","Mount Eden",89062.1538461538,3.76923076923077,13
"27","Bronx","Mount Hope",141387.450980392,3.3921568627451,51
"28","Bronx","North Riverdale",149436.8,3.8,15
"29","Bronx","Norwood",96364.8679245283,3.07547169811321,53
"30","Bronx","Olinville",140240.357142857,3.14285714285714,14
"31","Bronx","Parkchester",133580.157894737,3.25,76
"32","Bronx","Pelham Bay",130122.486486486,3.32432432432432,37
"33","Bronx","Pelham Gardens",118012.476923077,3.24615384615385,65
"34","Bronx","Port Morris",106259.883333333,3.16666666666667,60
"35","Bronx","Riverdale",178396.181818182,2.54545454545455,11
"36","Bronx","Schuylerville",124854.452380952,3.5952380952381,42
"37","Bronx","Soundview",144385.766666667,3.36666666666667,30
"38","Bronx","Spuyten Duyvil",36734.8888888889,2.88888888888889,9
"39","Bronx","Throgs Neck",142481.048780488,3.17073170731707,41
"40","Bronx","Tremont",139052.181818182,3.45454545454545,22
"41","Bronx","Unionport",41451.8666666667,3.73333333333333,15
"42","Bronx","University Heights",173103.702702703,3.24324324324324,37
"43","Bronx","Van Nest",83301.7222222222,3.44444444444444,18
"44","Bronx","Wakefield",108163.095238095,3.34126984126984,126
"45","Bronx","West Farms",29022.8333333333,4,6
"46","Bronx","Westchester Square",124727.952380952,3.66666666666667,21
"47","Bronx","Williamsbridge",100502.294871795,3.47435897435897,78
"48","Bronx","Woodlawn",172846.592592593,3.33333333333333,27
"49","Brooklyn","Bath Beach",116007.357142857,3.23809523809524,42
"50","Brooklyn","Bay Ridge",123589.923404255,3.17021276595745,235
"51","Brooklyn","Bedford-Stuyvesant",145931.744331509,3.28491008600469,6395
"52","Brooklyn","Bensonhurst",116392.483870968,3.31451612903226,124
"53","Brooklyn","Bergen Beach",119168.5,2.80769230769231,26
"54","Brooklyn","Boerum Hill",156628.723183391,3.23529411764706,289
"55","Brooklyn","Borough Park",124905.282608696,3.47826086956522,184
"56","Brooklyn","Brighton Beach",134487.930232558,3.33333333333333,129
"57","Brooklyn","Brooklyn Heights",164113.265560166,3.12863070539419,241
"58","Brooklyn","Brownsville",148277.57037037,3.4962962962963,135
"59","Brooklyn","Bushwick",159461.321869257,3.27776319243896,3809
